town;parentCategory;subCategory;name;website;phone;address
Upper Darby;Food & Drink;Bars;Busty's Tavern;http://bustys-tavern-inc.edan.io;+1 (610) 789-9836;N/A
Chester;Food & Drink;Bars;C-Bar Ultra Lounge;https://www.caesars.com/harrahs-philly/things-to-do/c-bar#.VjeN77erSUk;+1 (484) 490-1800;N/A
Bryn Mawr;Food & Drink;Bars;Carina Sorella;https://www.carinasorella.com;+1 (610) 596-9166;N/A
Yeadon;Food & Drink;Bars;Carlette's Hideaway;https://www.carletteshideaway.com;+1 (484) 469-4301;N/A
Media;Food & Drink;Bars;Casa Mia Italian Bar & Grill;http://www.casamiamedia.com;+1 (610) 891-9090;N/A
Newtown Square;Food & Drink;Bars;Casey's Public House;http://www.caseysns.com/;+1 (610) 353-1212;N/A
Ridley Park;Food & Drink;Bars;Casey's Ridley Park;https://www.caseysrp.com;+1 (484) 540-7524;N/A
Upper Darby;Food & Drink;Bars;Cawley's Irish Pub;https://www.facebook.com/Cawleys-Irish-Pub-151965754842411/;+1 (610) 449-1194;N/A
Glenolden;Food & Drink;Bars;Cedar Craft & Kitchen;http://barcck.com;+1 (610) 537-7003;N/A
Chadds Ford;Food & Drink;Bars;Chadds Ford Tavern;https://www.thecftavern.com;+1 (484) 800-4084;N/A
Folcroft;Food & Drink;Bars;Chasers Tavern;N/A;+1 (610) 583-5720;N/A
Havertown;Food & Drink;Bars;Cheese Club;http://www.woolseychiropractic.com;+1 (610) 446-9919;N/A
Upper Darby;Food & Drink;Bars;Chickie's & Pete's;https://chickiesandpetes.com/location/drexel-hill-2/;+1 (610) 853-2713;N/A
Brookhaven;Food & Drink;Bars;Chili's;https://www.chilis.com/locations/us/pennsylvania/brookhaven/brookhaven;+1 (484) 480-3442;N/A
Wayne;Food & Drink;Bars;Christopher's: A Neighborhood Place;http://www.christophersaneighborhoodplace.com/;+1 (610) 687-6558;N/A
Chester;Food & Drink;Bars;Club LSA;https://www.philadelphiaunion.com/tickets/club-lsa;+1 (877) 218-6466;N/A
Essington;Food & Drink;Bars;Coaches Bar and Grille;https://www.facebook.com/coachesbarandgrille/;+1 (610) 521-6668;N/A
Upper Chichester;Food & Drink;Bars;Concord Billiard Club;N/A;N/A;N/A
Chesterbrook;Food & Drink;Bars;Cool River;http://www.coolrivercafe.com/;+1 (610) 647-6700;N/A
Upper Chichester;Food & Drink;Bars;Copley's Cafe & Tavern;https://www.facebook.com/CopleysTavern/;+1 (610) 859-9222;N/A
Bryn Mawr;Food & Drink;Bars;Cozy Lounge;https://www.cozypa.com;+1 (484) 380-2125;N/A
Darby;Food & Drink;Bars;Crab Tavern;N/A;+1 (610) 534-7988;N/A
Springfield;Food & Drink;Bars;Craft Beer Store;http://www.craftbeerspringfield.com;+1 (610) 990-3013;N/A
Drexel Hill;Food & Drink;Bars;Craig's Tavern;http://craigs-tavern.poi.place;+1 (610) 853-0898;N/A
Lansdowne;Food & Drink;Bars;Dan's Corner Tavern;N/A;+1 (484) 461-8733;N/A
Wayne;Food & Drink;Bars;DanDan;https://www.dandanrestaurant.com/location/wayne-1/;+1 (484) 580-8558;N/A
Lansdowne;Food & Drink;Bars;Danny's Corner Tavern;https://danny-s-corner-tavern.hub.biz;+1 (610) 284-2929;N/A
Glen Mills;Food & Drink;Bars;Del Pez Mexican Gastropub;https://www.delpezmexicanpub.com;+1 (484) 842-1363;N/A
Drexel Hill;Food & Drink;Bars;DeMarco's;N/A;+1 (610) 622-4222;N/A
Sharon Hill;Food & Drink;Bars;Dixon's Lounge;N/A;+1 (610) 461-2462;N/A
Ridley Park;Food & Drink;Bars;Dolan’s Bar;http://www.dolansbar.com;+1 (484) 430-1354;N/A
Crum Lynne;Food & Drink;Bars;Don's Bar;N/A;+1 (610) 874-9919;N/A
Drexel Hill;Food & Drink;Bars;Drexel Vapes & Tobacco;http://drexelvapesandtobacco.com;+1 (484) 461-2404;N/A
Garnet Valley;Food & Drink;Bars;Duffer's Mill;https://www.dufferspa.com/location/duffers-mill/;+1 (610) 859-0011;N/A
Glen Mills;Food & Drink;Bars;Duffer's Tavern;https://www.dufferspa.com/location/duffers-tavern/;+1 (610) 358-5050;N/A
Bryn Mawr;Food & Drink;Bars;EXIT 13;http://www.exit13gastrobar.com;+1 (610) 525-3842;N/A
Upper Darby;Food & Drink;Bars;Fedora Blues Club;N/A;+1 (267) 307-5800;N/A
Essington;Food & Drink;Bars;Flashbacks;https://www.facebook.com/Flashbacks-Bar-Grille-342804896552929/;+1 (610) 521-9007;N/A
Radnor;Food & Drink;Bars;Fleming's;https://www.flemingssteakhouse.com/Locations/PA/Radnor;+1 (610) 688-9463;N/A
Bryn Mawr;Food & Drink;Bars;Flip and Bailey's;http://flipandbaileys.com;+1 (610) 527-4826;N/A
Folsom;Food & Drink;Bars;Frontier Saloon;N/A;+1 (610) 534-1424;N/A
Drexel Hill;Food & Drink;Bars;Gambols Big G Cafe;http://gambolscafecom.yolasite.com;+1 (610) 259-2702;N/A
Bryn Mawr;Food & Drink;Bars;Garrett Hill Ale House;http://www.garretthillalehouse.com;+1 (610) 519-0500;N/A
Aston;Food & Drink;Bars;Gatsby's Bar & Grill;https://gatsbysbargrill.com/;+1 (610) 494-4500;N/A
Lansdowne;Food & Drink;Bars;Glow and Puff;N/A;N/A;N/A
Bryn Mawr;Food & Drink;Bars;Grand Middle East;http://grandmiddleeast.com;N/A;N/A
Aston;Food & Drink;Bars;Gridiron Pub;https://gridironpub.com;+1 (484) 483-9301;N/A
Rosemont;Food & Drink;Bars;Gullifty's;http://www.gulliftys.com/;+1 (610) 525-1851;N/A
Holmes;Food & Drink;Bars;Haggerty's Cafe;https://www.facebook.com/haggertyscafe;+1 (610) 461-9534;N/A
Havertown;Food & Drink;Bars;Hangover Sports Bar;http://hangover-cafe-bar.poi.place;+1 (484) 453-8100;N/A
Drexel Hill;Food & Drink;Bars;Hanrahan's Irish Pub;https://www.facebook.com/Hanrahans-Irish-Pub-172942570007701/;+1 (484) 462-3533;N/A
Chester;Food & Drink;Bars;Hayes Lounge;https://hayes-lounge-pa-1.hub.biz;+1 (610) 485-8580;N/A
Glen Mills;Food & Drink;Bars;Heroes Bar & Grill;https://heroesbardelco.com;+1 (610) 358-3600;N/A
Newtown Square;Food & Drink;Bars;Hiramasa;https://hiramasapa.com;+1 (484) 420-4023;N/A
Woodlyn;Food & Drink;Bars;Hunts Annex Lounge;https://www.facebook.com/Hunts1311/;+1 (610) 833-2344;N/A
Media;Food & Drink;Bars;Idlewild;http://www.townehousepa.com;+1 (484) 445-2041;N/A
Clifton Heights;Food & Drink;Bars;Illusions Banquet Hall and Sports Bar;https://www.illusionssoulfoodcafe.com;+1 (484) 463-7333;N/A
Havertown;Food & Drink;Bars;Ivy Inn;http://www.ivyinn.org;+1 (610) 446-8026;N/A
Havertown;Food & Drink;Bars;J D McGillicuddy's;http://www.jdmcgillicuddys.com;+1 (484) 454-5289;N/A
Essington;Food & Drink;Bars;J.D. McGillicuddy's Tinicum;https://mcgillicuddystinicum.com;+1 (610) 521-9860;N/A
Primos;Food & Drink;Bars;J.T. Brewski’s Pub;http://jtbrewskispub.com;+1 (610) 626-6670;N/A
Ardmore;Food & Drink;Bars;Jack McShea's;https://www.jackmcsheas-ardmore.com;+1 (484) 416-3547;N/A
Lansdowne;Food & Drink;Bars;Jamey's House of Music;https://www.jameyshouseofmusic.com;+1 (215) 477-9985;N/A
Ardmore;Food & Drink;Bars;John Henry's Pub;https://johnhenryspubardmore.com;+1 (610) 726-9193;N/A
Prospect Park;Food & Drink;Bars;John Morton's Tavern;N/A;+1 (610) 237-7130;N/A
Essington;Food & Drink;Bars;John Robert Cellars;https://www.facebook.com/JohnRobertCellarsPA;+1 (484) 494-6576;N/A
Media;Food & Drink;Bars;John's Grille;http://www.johnsgrille.com;+1 (610) 565-8251;N/A
Drexel Hill;Food & Drink;Bars;Johnny B's Place;https://www.facebook.com/p/Johnny-Bs-Place-100069360791057/;+1 (610) 394-4030;N/A
Essington;Food & Drink;Bars;Kelly's Corner;https://kelly-s-corner-3.mapssite.site;+1 (610) 521-4268;N/A
Bryn Mawr;Food & Drink;Bars;Kelly's Taproom;http://kellystaproom.com;+1 (610) 520-9344;N/A
Media;Food & Drink;Bars;La Porta Ristorante;http://www.laportarestaurant.com;+1 (610) 358-5104;N/A
Media;Food & Drink;Bars;La Porta Via;https://laportarestaurant.com;+1 (610) 358-5104;N/A
Newtown Square;Food & Drink;Bars;Laff Out Loud Comedy;https://heavyhittasofcomedy.com/;+1 (215) 608-0380;N/A
Chester;Food & Drink;Bars;Larimer.brewhouse;https://www.facebook.com/Larimerbrewhouse-105988278144877/;+1 (484) 480-3918;N/A
Marcus Hook;Food & Drink;Bars;Lefty's Irish Pub;http://www.leftysirishpub.com;+1 (610) 494-9957;N/A
Upper Chichester;Food & Drink;Bars;Legends Bar and Grill;https://legendsbardelco.com/;N/A;N/A
Holmes;Food & Drink;Bars;Liberty Tavern Woodlyn;https://www.facebook.com/profile.php?id=100090260588896;+1 (484) 487-0200;N/A
Ardmore;Food & Drink;Bars;Local Wine & Kitchen;http://www.localwineandkitchen.com/;+1 (610) 896-4740;N/A
Ardmore;Food & Drink;Bars;Lola's Garden;https://www.lolasgardenrestaurant.com;+1 (484) 412-8011;N/A
Glen Mills;Food & Drink;Bars;Maduros Cigar Lounge;http://www.maduroscigarshop.com;+1 (855) 924-4277;N/A
Chester;Food & Drink;Bars;Maggie May's Campus Pub;https://www.facebook.com/maggiescp/?ref=page_internal;+1 (610) 490-0104;N/A
Ardmore;Food & Drink;Bars;Manatawny Still Works;https://www.manatawnystillworks.com/ardmore;+1 (484) 624-8271;N/A
Havertown;Food & Drink;Bars;Manoa Tavern;http://manoatavern.com;+1 (610) 446-9726;N/A
Broomall;Food & Drink;Bars;Marple Public House;https://www.facebook.com/@marplepublichouse/;+1 (484) 420-4502;N/A
Aston;Food & Drink;Bars;Martin's Crest Tavern;N/A;+1 (610) 358-4035;N/A
Aston;Food & Drink;Bars;Martin's Taphouse;N/A;+1 (610) 459-1117;N/A
Prospect Park;Food & Drink;Bars;Marty Magee's Irish Pub;http://facebook.com/MartyMagees;+1 (610) 583-9880;N/A
Norwood;Food & Drink;Bars;Matthew's Tavern;https://matthew-s-tavern.hub.biz;+1 (610) 534-0143;N/A
Essington;Food & Drink;Bars;McBride's Bar & Grill;https://www.facebook.com/McBrides401/;+1 (484) 494-6940;N/A
Ardmore;Food & Drink;Bars;McCloskey's Tavern;http://mccloskeystavern.com;+1 (610) 642-9280;N/A
Springfield;Food & Drink;Bars;McGlone's Stanley Kup Inn;N/A;+1 (610) 543-3547;N/A
Ardmore;Food & Drink;Bars;McSorleys Ale House;https://themcsorleysalehouse.com;+1 (610) 642-1370;N/A
Upper Darby;Food & Drink;Bars;Mickey's Tavern;N/A;+1 (610) 352-9760;N/A
Folsom;Food & Drink;Bars;Mikey's Place;http://mikeys-place.jany.io;+1 (610) 461-9410;N/A
Media;Food & Drink;Bars;Miller's Ale House;https://millersalehouse.com/locations/media/;+1 (484) 441-0037;N/A
Springfield;Food & Drink;Bars;Miller's Ale House;https://millersalehouse.com/locations/springfield/;+1 (610) 544-2635;N/A
Essington;Food & Drink;Bars;Monaghan's Irish Pub;http://www.monaghanspub.com/;+1 (610) 595-0303;N/A
Clifton Heights;Food & Drink;Bars;Murray's Bar & Grille;https://www.facebook.com/p/Murrays-Bar-and-Grille-100057603303354/;+1 (610) 623-5971;N/A
Prospect Park;Food & Drink;Bars;Next Door Restaurant & Gastro-Pub;https://nextdoorgastro-pub.com;+1 (484) 494-1193;N/A
Springfield;Food & Drink;Bars;O'Connell's Tavern;https://www.facebook.com/OConnells-Tavern-100281988185878/;+1 (610) 543-9601;N/A
Media;Food & Drink;Bars;Off The Rail;http://offtherailmedia.com;+1 (484) 442-8669;N/A
Springfield;Food & Drink;Bars;Old Original Nick's Roast Beef;http://www.nicksroastbeef.com;+1 (610) 690-1112;N/A
Media;Food & Drink;Bars;Old State Tavern;https://www.facebook.com/OLDSTATETAVERN/;+1 (610) 566-9920;N/A
Broomall;Food & Drink;Bars;P.J. Whelihan's Pub + Restaurant;https://www.pjspub.com/about.php?loc=Lawrence_Park;+1 (610) 848-4700;N/A
Newtown Square;Food & Drink;Bars;P.J. Whelihan's Pub + Restaurant;https://www.pjspub.com/about.php?loc=Newtown_Square;+1 (610) 848-4100;N/A
Media;Food & Drink;Bars;Pairings Cigar Bar;http://www.pairingscigarbar.com/;+1 (610) 565-1895;N/A
Ardmore;Food & Drink;Bars;Palombaro Club;http://palombaroclub.com;+1 (610) 642-9730;N/A
Chadds Ford;Food & Drink;Bars;Penns Woods Winery;http://www.pennswoodswinery.com/;+1 (610) 459-0808;N/A
Essington;Food & Drink;Bars;Pennsylvania Wine Company;N/A;N/A;N/A
Chester;Food & Drink;Bars;Persona Lounge;https://www.facebook.com/Persona-Lounge-Grille-103757291713066/;+1 (215) 606-8402;N/A
Upper Darby;Food & Drink;Bars;Pica's Restaurant;https://picas-restaurantud.com;+1 (610) 789-7770;N/A
Media;Food & Drink;Bars;Pinocchio’s Restaurant;https://www.pinpizza.com;+1 (610) 566-7767;N/A
Drexel Hill;Food & Drink;Bars;Playhouse Lanes;N/A;+1 (610) 259-7070;N/A
Ardmore;Food & Drink;Bars;Positano Ristorante;http://www.positanoristorante.com/;+1 (610) 896-8298;N/A
Chester;Food & Drink;Bars;Primepoint Club;https://www.philadelphiaunion.com/tickets/premium/club-seats;+1 (610) 859-3100;N/A
Ridley Park;Food & Drink;Bars;R Park Tavern;N/A;+1 (484) 540-8296;N/A
Chester;Food & Drink;Bars;Red Fire American Grill;https://red-fire-american-grill.mapssite.site/;+1 (610) 521-9600;N/A
Folcroft;Food & Drink;Bars;Red Lantern Tavern;N/A;+1 (610) 583-9811;N/A
Ardmore;Food & Drink;Bars;Ripplewood Whiskey & Craft;http://www.ripplewoodbar.com;+1 (610) 486-7477;N/A
Haverford;Food & Drink;Bars;Roache & O'Brien;https://www.facebook.com/Roache-OBrien-158894670811951/;+1 (610) 527-6308;N/A
Wayne;Food & Drink;Bars;Rosalie;http://www.rosaliewayne.com;+1 (610) 977-0600;N/A
Clifton Heights;Food & Drink;Bars;Rose Bar & Kitchen;https://business.facebook.com/rosebarandkitchen/?ref=py_c;+1 (484) 461-1532;N/A
Ridley Park;Food & Drink;Bars;Rosemary;http://rosemaryrp.com;+1 (610) 671-3770;N/A
Ardmore;Food & Drink;Bars;Rusty Nail;http://www.thenail1.com;+1 (610) 649-6245;N/A
Upper Darby;Food & Drink;Bars;SA CAFE;http://sacafepa.com;+1 (610) 999-8264;N/A
Upper Darby;Food & Drink;Bars;Sabor Latino Restaurant - Night Club;N/A;+1 (610) 352-8414;N/A
Folsom;Food & Drink;Bars;Santino's Tap & Table;http://santinostapandtable.com;+1 (610) 572-7270;N/A
Springfield;Food & Drink;Bars;Saxers Pub;https://saxerspub.com;+1 (484) 472-6176;N/A
Secane;Food & Drink;Bars;Secane Station Tavern;https://secane-station-tavern.hub.biz;+1 (610) 544-8076;N/A
Newtown Square;Food & Drink;Bars;Sedona Taphouse;https://sedonataphouse.com/locations/newtown-square-pa;+1 (484) 420-6284;N/A
Media;Food & Drink;Bars;Sligo;http://www.sligomedia.com;+1 (610) 566-5707;N/A
Ardmore;Food & Drink;Bars;Soley's Tavern;N/A;+1 (610) 649-1925;N/A
Eddystone;Food & Drink;Bars;Spada's Cafe;http://spadas-cafe.edan.io;+1 (610) 874-3966;N/A
Media;Food & Drink;Bars;State Street Pub;https://www.statestreetpubmedia.com;+1 (610) 627-2515;N/A
Drexel Hill;Food & Drink;Bars;Station Tap;http://www.stationtap.com;+1 (484) 469-3222;N/A
Media;Food & Drink;Bars;Stephen's on State;https://stephensonstate.com/?fbclid=IwAR32jGQFrwOakLSBlzRR0qN9uSwtPePC5rFN7NfrdzUl-HMwef15D-JOIss;+1 (610) 891-8900;N/A
Ridley Park;Food & Drink;Bars;Stinger's Waterfront;http://www.stingerssecane.com;+1 (484) 540-7868;N/A
Drexel Hill;Food & Drink;Bars;Streetlight Kitchen & Bar;http://streetlightdrexelhill.com;+1 (484) 461-9823;N/A
Aston;Food & Drink;Bars;Sundance Saloon;https://www.facebook.com/sundancesaloonaston/;+1 (610) 494-9725;N/A
Media;Food & Drink;Bars;Tap 24;https://tap24media.com;+1 (484) 442-8839;N/A
Springfield;Food & Drink;Bars;Tavola;https://tavolas.com;+1 (610) 543-2100;N/A
Wayne;Food & Drink;Bars;Teresa's Cafe;http://www.teresas-cafe.com;+1 (610) 293-9909;N/A
Folcroft;Food & Drink;Bars;Terry's Too;https://riny.top/terry-s-too;+1 (484) 494-0811;N/A
Media;Food & Drink;Bars;The 320 Market Cafe;http://the320marketcafe.com/;+1 (610) 565-8320;N/A
Newtown Square;Food & Drink;Bars;The Ale House;http://www.alehousenewtownsquare.com/;+1 (610) 353-1618;N/A
Bryn Mawr;Food & Drink;Bars;The Brick Bar;N/A;+1 (610) 525-8199;N/A
Clifton Heights;Food & Drink;Bars;The Champagne Room At Polish American Citizens Association;http://pacach.com;+1 (610) 299-4513;N/A
Havertown;Food & Drink;Bars;The Crossbar;http://www.thecrossbarhavertown.com/;+1 (610) 449-4200;N/A
Glenolden;Food & Drink;Bars;The Fainting Goat;https://www.faintinggoatpa.com;+1 (484) 497-8609;N/A
Wayne;Food & Drink;Bars;The Goat's Beard;https://www.thegoatsbeardphilly.com/wayne-location;+1 (484) 584-4979;N/A
Wayne;Food & Drink;Bars;The Great American Pub;https://thegreatamericanpub.com/wayne/;+1 (610) 964-9535;N/A
Bryn Mawr;Food & Drink;Bars;The Grog Grill;https://thegroggrill.com;+1 (610) 527-5870;N/A
Upper Chichester;Food & Drink;Bars;The Hideout Cigar Shop & Lounge;http://www.hideoutcigarshop.net;+1 (610) 494-4100;N/A
